frame_index,file,side,status,roi_mode,pixels,row_coverage_ratio,vehicle_points_before_crop,vehicle_points_after_crop,fitted_lane_points,angle_deg,line_a,line_b,lost_count
33,000033.png,right,ok,tracking,2120,0.577778,2120,2120,20,19.677862,2.79629554573,-193.38779477,0
33,000033.png,center,ok,from_left_right,,,,,20,,,,
34,000034.png,left,ok,tracking,1944,0.416667,1944,1944,21,164.891269,-3.70392059866,995.245065826,0
34,000034.png,right,ok,tracking,2131,0.577778,2131,2131,20,19.688289,2.79469142291,-193.076056792,0
34,000034.png,center,ok,from_left_right,,,,,20,,,,
35,000035.png,left,ok,tracking,1937,0.416667,1937,1937,21,164.890646,-3.70376058311,995.158928326,0
35,000035.png,right,ok,tracking,2124,0.577778,2124,2124,20,19.687607,2.79479628036,-193.127472764,0
35,000035.png,center,ok,from_left_right,,,,,20,,,,
36,000036.png,left,ok,tracking,1942,0.416667,1942,1942,21,164.910112,-3.70876700813,996.333003955,0
36,000036.png,right,ok,tracking,2119,0.577778,2119,2119,20,19.685994,2.79504431803,-193.153924663,0
36,000036.png,center,ok,from_left_right,,,,,20,,,,
37,000037.png,left,ok,tracking,1933,0.411111,1933,1933,21,164.911771,-3.70919435684,996.38493421,0
37,000037.png,right,ok,tracking,2128,0.577778,2128,2128,20,19.684702,2.79524310068,-193.176614095,0
37,000037.png,center,ok,from_left_right,,,,,20,,,,
38,000038.png,left,ok,tracking,1937,0.411111,1937,1937,21,164.906880,-3.70793496733,996.132225621,0
38,000038.png,right,ok,tracking,2121,0.577778,2121,2121,20,19.679324,2.79607059442,-193.367950234,0
38,000038.png,center,ok,from_left_right,,,,,20,,,,
39,000039.png,left,ok,tracking,1937,0.416667,1937,1937,21,164.895334,-3.70496502344,995.509736152,0
39,000039.png,right,ok,tracking,2127,0.577778,2127,2127,20,19.696199,2.79347552658,-192.714226423,0
39,000039.png,center,ok,from_left_right,,,,,20,,,,
40,000040.png,left,ok,tracking,1935,0.411111,1935,1935,21,164.914417,-3.70987616911,996.587155737,0
40,000040.png,right,ok,tracking,2128,0.577778,2128,2128,20,19.684214,2.79531824991,-193.205250121,0
40,000040.png,center,ok,from_left_right,,,,,20,,,,
41,000041.png,left,ok,tracking,1940,0.411111,1940,1940,21,164.905189,-3.70749962465,996.052350745,0
41,000041.png,right,ok,tracking,2129,0.577778,2129,2129,20,19.687597,2.79479791827,-193.111219391,0
41,000041.png,center,ok,from_left_right,,,,,20,,,,
42,000042.png,left,ok,tracking,1935,0.416667,1935,1935,21,164.904918,-3.70743011345,996.015415799,0
42,000042.png,right,ok,tracking,2130,0.572222,2130,2130,20,19.671633,2.79725462488,-193.645964444,0
42,000042.png,center,ok,from_left_right,,,,,20,,,,
43,000043.png,left,ok,tracking,1942,0.416667,1942,1942,21,164.904083,-3.70721520237,995.957115699,0
43,000043.png,right,ok,tracking,2125,0.572222,2125,2125,20,19.670024,2.7975026082,-193.652955527,0
43,000043.png,center,ok,from_left_right,,,,,20,,,,
44,000044.png,left,ok,tracking,1937,0.411111,1937,1937,21,164.897069,-3.70541101736,995.476137643,0
44,000044.png,right,ok,tracking,2135,0.577778,2135,2135,20,19.671357,2.79729718067,-193.731150353,0
44,000044.png,center,ok,from_left_right,,,,,20,,,,
45,000045.png,left,ok,tracking,1941,0.411111,1941,1941,21,164.905677,-3.70762539413,996.074841446,0
45,000045.png,right,ok,tracking,2131,0.577778,2131,2131,20,19.675171,2.79670994385,-193.604930787,0
45,000045.png,center,ok,from_left_right,,,,,20,,,,
46,000046.png,left,ok,tracking,1937,0.411111,1937,1937,21,164.920192,-3.71136464037,996.834241337,0
46,000046.png,right,ok,tracking,2131,0.577778,2131,2131,20,19.678742,2.79616011577,-193.448552553,0
46,000046.png,center,ok,from_left_right,,,,,20,,,,
47,000047.png,left,ok,tracking,1941,0.411111,1941,1941,21,164.905705,-3.70763253545,996.062689817,0
47,000047.png,right,ok,tracking,2135,0.577778,2135,2135,20,19.698664,2.79309691227,-192.699457109,0
47,000047.png,center,ok,from_left_right,,,,,20,,,,
48,000048.png,left,ok,tracking,1939,0.411111,1939,1939,21,164.907371,-3.70806139733,996.092079526,0
48,000048.png,right,ok,tracking,2138,0.577778,2138,2138,20,19.684408,2.79528833595,-193.198344718,0
48,000048.png,center,ok,from_left_right,,,,,20,,,,
49,000049.png,left,ok,tracking,1938,0.416667,1938,1938,21,164.894674,-3.70479543157,995.421881494,0
49,000049.png,right,ok,tracking,2127,0.577778,2127,2127,20,19.684963,2.79520299384,-193.172543414,0
49,000049.png,center,ok,from_left_right,,,,,20,,,,
50,000050.png,left,ok,tracking,1932,0.411111,1932,1932,21,164.911388,-3.70909575651,996.32694248,0
50,000050.png,right,ok,tracking,2120,0.577778,2120,2120,20,19.678456,2.79620420678,-193.395970767,0
50,000050.png,center,ok,from_left_right,,,,,20,,,,
51,000051.png,left,ok,tracking,1941,0.416667,1941,1941,21,164.901120,-3.70645295944,995.729726424,0
51,000051.png,right,ok,tracking,2131,0.577778,2131,2131,20,19.683430,2.79543871736,-193.230578274,0
51,000051.png,center,ok,from_left_right,,,,,20,,,,
52,000052.png,left,ok,tracking,1942,0.411111,1942,1942,21,164.903472,-3.70705801886,995.949219576,0
52,000052.png,right,ok,tracking,2124,0.577778,2124,2124,20,19.694028,2.79380919334,-192.861849044,0
52,000052.png,center,ok,from_left_right,,,,,20,,,,
53,000053.png,left,ok,tracking,1938,0.416667,1938,1938,21,164.893003,-3.70436606519,995.307249165,0
53,000053.png,right,ok,tracking,2118,0.577778,2118,2118,20,19.690178,2.79440107796,-193.000314451,0
53,000053.png,center,ok,from_left_right,,,,,20,,,,
54,000054.png,left,ok,tracking,1948,0.416667,1948,1948,21,164.895855,-3.70509905454,995.547224421,0
54,000054.png,right,ok,tracking,2119,0.577778,2119,2119,20,19.686945,2.79489808616,-193.087321808,0
54,000054.png,center,ok,from_left_right,,,,,20,,,,
55,000055.png,left,ok,tracking,1938,0.411111,1938,1938,21,164.912366,-3.70934755719,996.496953254,0
55,000055.png,right,ok,tracking,2128,0.577778,2128,2128,20,19.695253,2.79362092304,-192.824782167,0
55,000055.png,center,ok,from_left_right,,,,,20,,,,
56,000056.png,left,ok,tracking,1944,0.416667,1944,1944,21,164.900465,-3.70628445996,995.768286411,0
56,000056.png,right,ok,tracking,2131,0.577778,2131,2131,20,19.686244,2.7950059957,-193.082953878,0
56,000056.png,center,ok,from_left_right,,,,,20,,,,
57,000057.png,left,ok,tracking,1935,0.416667,1935,1935,21,164.901942,-3.70666435251,995.836870364,0
57,000057.png,right,ok,tracking,2125,0.577778,2125,2125,20,19.684168,2.79532518566,-193.152753756,0
57,000057.png,center,ok,from_left_right,,,,,20,,,,
58,000058.png,left,ok,tracking,1935,0.416667,1935,1935,21,164.905626,-3.70761217314,996.072075272,0
58,000058.png,right,ok,tracking,2119,0.577778,2119,2119,20,19.685885,2.79506110094,-193.097300531,0
58,000058.png,center,ok,from_left_right,,,,,20,,,,
59,000059.png,left,ok,tracking,1936,0.416667,1936,1936,21,164.889812,-3.70354632051,995.130279821,0
59,000059.png,right,ok,tracking,2118,0.577778,2118,2118,20,19.670817,2.79738038247,-193.597746795,0
59,000059.png,center,ok,from_left_right,,,,,20,,,,
60,000060.png,left,ok,tracking,1942,0.416667,1942,1942,21,164.899028,-3.70591477418,995.667572295,0
60,000060.png,right,ok,tracking,2128,0.577778,2128,2128,20,19.683373,2.79544750214,-193.247264758,0
60,000060.png,center,ok,from_left_right,,,,,20,,,,
61,000061.png,left,ok,tracking,1942,0.411111,1942,1942,21,164.903631,-3.70709890031,995.916264673,0
61,000061.png,right,ok,tracking,2129,0.577778,2129,2129,20,19.680594,2.79587518927,-193.318486694,0
61,000061.png,center,ok,from_left_right,,,,,20,,,,
