frame_index,file,side,status,roi_mode,pixels,row_coverage_ratio,vehicle_points_before_crop,vehicle_points_after_crop,fitted_lane_points,angle_deg,line_a,line_b,vehicle_x_min,vehicle_x_max,vehicle_y_min,vehicle_y_max,lost_count
35,000035.png,left,ok,tracking,1286,0.127168,1286,1286,25,166.494842,-4.16364839159,990.685634164,0.263789,0.317021,-0.510509,-0.424509,0
35,000035.png,right,ok,tracking,2466,0.664740,2466,2466,25,20.513542,2.67269562872,-161.217667787,0.351496,0.453922,-1.170087,-0.596869,0
35,000035.png,center,ok,from_left_right,,,25,,,,
36,000036.png,left,rejected_side_geometry,tracking,1619,0.150289,0,0,0,170.057349,-5.70466584228,1288.07523967,,,,,6
36,000036.png,right,ok,tracking,2458,0.664740,2458,2458,25,20.517751,2.67209752507,-161.021272395,0.351496,0.453922,-1.170087,-0.596869,0
36,000036.png,center,not_published,from_left_right,,,0,,,,
37,000037.png,left,ok,init,4684,0.491329,4684,4684,25,153.908301,-2.04200274188,584.713976672,0.205652,0.338640,-0.557700,-0.371490,0
37,000037.png,right,ok,tracking,2472,0.664740,2472,2472,25,20.530654,2.67026543678,-160.491696302,0.351496,0.453922,-1.170087,-0.596869,0
37,000037.png,center,ok,from_left_right,,,25,,,,
38,000038.png,left,ok,tracking,1279,0.127168,1279,1279,25,166.873089,-4.28811942723,1015.70561307,0.264030,0.317378,-0.511274,-0.425057,0
38,000038.png,right,ok,tracking,2458,0.664740,2458,2458,25,20.523800,2.67123836793,-160.729327065,0.351496,0.453922,-1.170087,-0.596869,0
38,000038.png,center,ok,from_left_right,,,25,,,,
39,000039.png,left,rejected_side_geometry,tracking,1605,0.150289,0,0,0,170.273316,-5.83388020233,1313.97336382,,,,,6
39,000039.png,right,ok,tracking,2474,0.664740,2474,2474,25,20.536301,2.66946440791,-160.292516118,0.351496,0.453922,-1.170087,-0.596869,0
39,000039.png,center,not_published,from_left_right,,,0,,,,
40,000040.png,left,ok,init,4666,0.491329,4666,4666,25,153.665221,-2.02025798276,579.610982807,0.205652,0.338640,-0.557700,-0.371490,0
40,000040.png,right,ok,tracking,2479,0.664740,2479,2479,25,20.539342,2.66903313775,-160.180492708,0.351496,0.453922,-1.170087,-0.596869,0
40,000040.png,center,ok,from_left_right,,,25,,,,
41,000041.png,left,ok,tracking,1239,0.127168,1239,1239,25,167.149892,-4.38376711398,1035.48571993,0.263789,0.317021,-0.510509,-0.424509,0
41,000041.png,right,ok,tracking,2473,0.664740,2473,2473,25,20.543247,2.66847955951,-160.082698665,0.351496,0.453922,-1.170087,-0.596869,0
41,000041.png,center,ok,from_left_right,,,25,,,,
42,000042.png,left,rejected_side_geometry,tracking,1618,0.150289,0,0,0,170.432435,-5.93277769454,1333.99497227,,,,,6
